この,連体詞,連体詞,,,
問題,名詞-ナイ形容詞語幹,名詞,ナイ形容詞語幹,,
は,助詞-係助詞,助詞,係助詞,,
当該,名詞-一般,名詞,一般,,
生徒,名詞-一般,名詞,一般,,
が,助詞-格助詞-一般,助詞,格助詞,一般,
以前,名詞-副詞可能,名詞,副詞可能,,
から,助詞-格助詞-一般,助詞,格助詞,一般,
コーンロウ,名詞-固有名詞-一般,名詞,固有名詞,一般,
の,助詞-連体化,助詞,連体化,,
髪形,名詞-一般,名詞,一般,,
に,助詞-格助詞-一般,助詞,格助詞,一般,
し,動詞-自立,動詞,自立,,
て,助詞-接続助詞,助詞,接続助詞,,
い,動詞-非自立,動詞,非自立,,
た,助動詞,助動詞,,,
訳,名詞-非自立-一般,名詞,非自立,一般,
で,助動詞,助動詞,,,
なく,助動詞,助動詞,,,
学校,名詞-一般,名詞,一般,,
側,名詞-接尾-一般,名詞,接尾,一般,
に,助詞-格助詞-一般,助詞,格助詞,一般,
何,名詞-代名詞-一般,名詞,代名詞,一般,
の,助詞-連体化,助詞,連体化,,
相談,名詞-サ変接続,名詞,サ変接続,,
も,助詞-係助詞,助詞,係助詞,,
無く,形容詞-自立,形容詞,自立,,
、,記号-読点,記号,読点,,
卒業式,名詞-固有名詞-一般,名詞,固有名詞,一般,
当日,名詞-副詞可能,名詞,副詞可能,,
に,助詞-格助詞-一般,助詞,格助詞,一般,
髪形,名詞-一般,名詞,一般,,
を,助詞-格助詞-一般,助詞,格助詞,一般,
突然,副詞-助詞類接続,副詞,助詞類接続,,
コーンロウ,名詞-固有名詞-一般,名詞,固有名詞,一般,
に,助詞-格助詞-一般,助詞,格助詞,一般,
し,動詞-自立,動詞,自立,,
て,助詞-接続助詞,助詞,接続助詞,,
来,動詞-非自立,動詞,非自立,,
た事,名詞-形容動詞語幹,名詞,形容動詞語幹,,
に,助詞-格助詞-一般,助詞,格助詞,一般,
ある,動詞-自立,動詞,自立,,
。,記号-句点,記号,句点,,
民族的,名詞-固有名詞-一般,名詞,固有名詞,一般,
アイデンティティ,名詞-一般,名詞,一般,,
を,助詞-格助詞-一般,助詞,格助詞,一般,
主張,名詞-サ変接続,名詞,サ変接続,,
する,動詞-自立,動詞,自立,,
の,名詞-非自立-一般,名詞,非自立,一般,
で,助動詞,助動詞,,,
あれ,助動詞,助動詞,,,
ば,助詞-接続助詞,助詞,接続助詞,,
、,記号-読点,記号,読点,,
何故,副詞-助詞類接続,副詞,助詞類接続,,
　,記号-空白,記号,空白,,
今,名詞-副詞可能,名詞,副詞可能,,
まで,助詞-副助詞,助詞,副助詞,,
は,助詞-係助詞,助詞,係助詞,,
普通,名詞-形容動詞語幹,名詞,形容動詞語幹,,
の,助詞-連体化,助詞,連体化,,
髪型,名詞-一般,名詞,一般,,
だっ,助動詞,助動詞,,,
た,助動詞,助動詞,,,
の,名詞-非自立-一般,名詞,非自立,一般,
