id,comment
100,この タイトル や 報道 の 仕方 を 見 て 、 松本 サリン 事件 を 思い出し た 。 
101,研究 員 だ として も メタノール なんて 古典 的 な 方法 を 使う の か ね ？ 
101,全国 区 に なる の に 散髪 は し て おい た 方 が いい のに 。 
102,この 手 の プロフェッショナル な のに 、 メタノール なんて 使う か な ‥ 
103,これ は 実録 2 時間 ドラマ に し て 欲しい とこ だ な 
104,いや 、 小学生 の お子さん 、 お母さん と お父さん を 同時に 無くし て しまっ た 、 、 、 だ な 。 
104,胸 が 苦しい 。 
105,子供 の こと を 1 % で も 考え たら 、 そこ まで は ね 。 
106,夫婦 の こと は 夫婦 に しか わから ない けれど 、 お子さん は ショック だろ う な … 
107,結婚 が 幸せ と は 限ら ない って こと だ な 。 
107,人生 色々 ある ぜ 
108,証拠 は 世間 に 公表 さ れる か 否 か は 分から ない が 有る ん だ よ 
109,湯川 先生 に 捜査 協力 を 依頼 し ない と 
110,製薬 の プロ が こんな 分かり やすい 手口 使う の か な ？ 
110,って 疑問 に 思っ た 
111,こんなにも 優秀 な 夫婦 な のに 何 が あっ た ん だろ う ？ 
111,勿体ない なぁ 
112,共働き を 続けれ ば よかっ た の かも しれ ませ ん ね 。 
112,よく わかり ませ ん けど 。 
113,薫 さん 　 湯川 先生 に 捜査 依頼 お願い し ます 
114,科捜研 で は なく 民間 に 分析 頼ん だら じつは メタノール じゃ ない って オチ だっ たり し て w 
115,死ぬ ほど の メタノール を 飲ま せる って 、 チューハイ に でも 混ぜ た の だろ う か ？ 
116,cm で 「 元気 出し て いき ましょ う 」 と 言わ れ て も 、 何 だ か なぁ 
117,キャリア の とても 高い 人 な のに 残念 です 。 
118,もっと 特殊 な 薬品 な の か と 思っ た が メタノール か 、 、 、 、 単純 
119,ハイスペック が 幸福 だ と は 限ら ない ん だ ね 。 
120,さすが に これ は 会社 も 気の毒 いくら 社員 の 起こし た 事 と は いえ ちょっと … 
121,いつ 妻 を 殺害 し た かも 書い て ない から さっぱり 経緯 が わから ん 。 
122,おいおい 、 お子さん いる の か … 。 
122,お子さん が かわいそう で しかた ない 。 
122,エリート 夫婦 で 生活 に 不自由 も なかっ た ろう に 。 。 
123,薬品 の プロ が メタノール 使う か 疑問 だ けど ね 。 
124,第 一 三共 信用 出来る 会社 な の ？ 
124,薬品 の 安全 管理 が でき て なかっ た ん です よ ね 
125,ありゃ 、 メチルアルコール って 飲め ない の か 。 
125,って 、 北斗 の 拳 で 知っ た けど 、 あんな 表現 どころ じゃ ない ん だ よ なぁ 。 
126,一番 信頼 し て いる 人 の 裏切り ほど 悲しい もの は ない 
127,研究 職 と は 言え 、 私 が 上司 なら 髪 切っ て 来い って 言い ます 。 
128,残さ れ た 子供 が 心配 で かわいそう です 。 
129,エタ で も やばい のに メタ と は 。 
129,代謝 で ホルムアルデヒド → 蟻酸 です ね 。 
130,薬 の 専門 家 なら もう少し ばれ 難い 方法 で でき なかっ た の か ねぇ 。 
131,第 一 三共 、 とばっちり で 気の毒 。 
131,社名 出す 必要 ない 気 が する ん だ けど 。 
132,何 が あっ た の でしょ う か 
133,あり 得る の か な 。 
133,こんな こと 。 
134,子ども が かわいそう で 気 に なる 。 
135,謎 。 
135,メタノール は スグ に バレる だろ う に 。 
136,ラボ から 持ち出し て たら 会社 の 管理 も 問わ れる ね 
137,めちゃくちゃ エリート じゃん 。 
137,何 が 有っ た ん だろ う 。 
138,高橋 亘 、 責任 問題 だ な 
139,大手 で 経済 的 に も 困っ て ない だろ う に 
140,子供 は どう なる 。 
140,かわいそう だ 。 
141,貧しく て も 夫婦 円満 で いたい ね 。 
142,色々 と もったいない な 
143,面倒 な 研修 が 増える な 。 。 。 
144,残さ れ た お子さん が 心配 です 。 
145,理由 が 知り たい です 。 
146,社名 公表 いる ん か 、 これ 
147,お子さん が 本当に 心配 
148,科捜研 の 女 に 出 て くる よう な 話 だ な 。 
149,子供 が かわいそう だ 。 
150,子供 が 不憫 で なら ない ・ ・ ・ 。 
151,子供 が 不憫 で なら ない 
152,人生 って そんな もん か 。 
152,俺 の 人生 まだ まし だ な 。 
153,イケメン かも 
154,何 が あっ た ん だろ う か ？ 
154,お子さん が 気の毒 だ 。 
155,会社 の イメージ が 落ち た 
156,ドラマ みたい だ な 、 すげ え 。 
157,ドラマ みたい な 話 
