id,comment
200,学歴 、 知識 、 知能 を ？ 
200,なんとも 珍 紛漢紛 な 事 に 使っ て しまい まし た ね … 。 
200,動機 は なん だっ た の でしょ う ？ 
200,京大 卒 の お 嫁さん に 北海道大学 を 馬鹿 に さ れ た ？ 
200,学歴 が どんなに 素晴らしく て も こんなに 悲しい 結果 に なっ て しまっ て は 残さ れ た お子さん の 未来 が 可哀想 で 胸 が 締め付け られる 思い で いっぱい です … … 
200,傷つい て いる お子さま 達 の 今後 、 良き 環境 が ある 事 を 祈る ばかり です 。 
201,すごく シンプル な 記事 な の です が 、 病死 と 偽装 し た と 書い て あり 別 の 記事 で は メタノール を 飲ま せ た と 書い て あっ た 。 
201,物証 は 出 た の だろ う か ？ 
201,動機 が あっ た ？ 
201,奥さん も 高学歴 の 研究 者 の よう だ し そう 簡単 に 飲ん だら ダメ な もの を 飲ま せる こと が 可能 な の か な ？ 
201,いろいろ と 興味 が でる 事件 です が 奥様 は お いたわしい です し お子さん が 可哀想 です ね ・ ・ 。 
202,痛み を やわらげる 研究 の 果て に 、 心 の 痛み も 亡くし て しまっ た マッドドクター 。 
202,大切 な 奥さん を 自ら の 手 で 亡き 者 に すれ ば 、 心 の 痛み を もう一度 感じ られる と 思っ た か 。 
202,凶器 は 奥さん と の 思い出 の メタノール 。 
203,この ニュース を 聞い て 、 メタノール を 酒 に 混ぜ て 殺害 できる こと を 知り 模倣 する 事件 が 起き なけれ ば 良い が 。 
203,以前 、 埼玉 県 で 看護 師 が ビール に 鎮痛 剤 を 混入 さ せ て 酩酊 状態 で 事故 を 起さ せ て 殺害 事件 が 起き た 時 も 模倣 犯 が 相次い だ から だ 。 
204,優秀 な 頭脳 明晰 同士 の 結婚 は ケンカ と なる と 性格 が 合わ なかっ たら 激し そう 。 
204,弁護士 同士 の カップル も 相性 悪い と ケンカ が 言葉 が ひどい とか きい た な 。 
204,相手 を コテンパ に やっ て しまう って いう 。 
204,警察 を 近所 の ひと が 呼ぶ ほど の ケンカ を し て いる の だっ たら お互い に キャリア も ある し 自立 できる ん だ し とっとと 別れ た ほう が よかっ た のに 殺し たり 殺さ れる 前 に 別れ なかっ た の か 不思議 。 
205,動機 は なん だっ た の か が 気 に なる 。 
