id,comment
398,大手 に 勤務 する 40 代 の 顔 じゃ ない ね ^   ^; 
399,この 会社 の 有名 商品 教え 
400,頭 良い やつ は 不思議 な 犯罪 犯す よ ね 。 
401,古畑 任 三郎 が 出 て き そう な 事件 です ね 。 
402,自分 が 飲め ば 。 
403,第 一 三共 から も 殺人 者 か ひどい 会社 だ ね 
404,第 一 三共 も いい 迷惑 イメージダウン で 損害 賠償 請求 もの 
405,スーパー エリート が 何 学ん で き た ん だ ！ 
406,まだ 容疑 者 の 段階 や で 。 
406,何 書い とん ねん 。 
407,中 々 の 高学歴 夫婦 
408,自殺 ・ 事故 の 線 は ない の か ？ 
409,容疑 者 の Tシャツ 。 。 。 
409,（ －＿－；） 
410,優秀 な 人間 と 人格 者 は 比例 し ない 
411,殺害 できる 嫁 も い ない 
412,人生 わから ない です 。 
413,『 ザ 仰天 ニュース 』 の 、 格好 の 餌食 に なる 事件 だ な 
414,不謹慎 だけ と 刑事 物 の ドラマ みたい … 。 
415,夫婦 で いくら 稼い で い た ん だろ う 。 
416,ショッキング な ニュース です ね 
417,動機 は ＤＮＡ 鑑 定か な ( 笑 ) 
418,ドラマ で あり そう な 事件 だ な 
419,経歴 が よかっ て も 　 人間 　 殺し たら 
419,もう 終わり や の 
420,ばれ ない と 思っ た の ？ 
421,え … 子供 も いる のに … ？ 
421,不倫 し て た とか な の か な 。 。 
422,変 な 事件 多い よ ！ ？ 
423,小学生 の 子 が 可哀そう すぎる 
424,ドラマ みたい な 事件 だ な 
425,メタノール 王子 
426,動機 は ？ ！ 
427,知識 と 立場 の 悪用 、 か 
428,マッドサイエンティスト だ な 。 
429,顔 が もう 普通 じゃ ない 
430,第 一 三共 も 落ち た な 
431,マッドサイエンティスト 
432,残さ れ た 子供 が 不憫 
433,そのまま 古畑 とか ガリ レオ の ネタ に なり そう な 事件 だ よ ね ｗ 
434,まるで ドラマ みたい 。 
435,前髪 長く て 前 が 見づらい 
436,悪い なあ コイツ 。 
436,やり そう な 外見 し てる と 言え ば し てる か 。 
437,メタノール 自殺 ？ 
438,薬局 で 売っ てる な 
439,サイコパス です ね 
440,メタノール で 殺害 ？ 
440,専門 知識 不要 です ね 
441,ロキソニン か 
442,第 一 三共 サイテー や な もう 薬 飲ま へん ！ 
443,ええ やん ！ 
444,なんか 、 一部 女子 に ウケ そう な 面構え だ な ！ 
445,とりあえず 前髪 切ろ う 
446,狂っ てる !!! 
447,天才 な の か 馬鹿 な の か 。 
447,馬鹿 な こと を し た の は 間違い ない 。 
448,もったいない ね えー 。 
449,別れりゃ いい のに 
450,… … … 
450,なん や 知ら ん が 、 前髪 を 切り なさい ！ 
451,第 一 三共 て こんな 前髪 で も オッケー な の ？ 
452,ヤフコメ 迷探偵 の 人 たち 、 うる せ え から 黙っ て てく ん ねえ か なあ … 
453,サイコパス か ？ 
454,えん罪 の 匂い が プンプン する な 
455,いや なら 別れろ よ 笑 
456,酷い やつ 。 
457,前髪 やばい 、 、 
458,バカ に 出す 　 薬 が ない わけ 　 よく わかり 
459,最低 や な こいつ 
