Column1,comment,label
4,大丈夫 ？ ,0
6,貴方 個人 の 感想 、 ワガママ で ディストピア 作ら れ ちゃ かなわ ん よ 。 ,0
7,あなた が 偏見 に まみれ て いる の は よく わかる 。 ,0
11,脳 が 凝り固まっ てる 。 ,0
12,他人 と 比べ て も 何 に も なら ない やっぱ ジジイ の クセ に ガキ な ん だ な w ,0
14,いっつも 内容 が 不確か 。 。 。 ,0
15,何 を 言っ てる の か 分から ない 。 ,0
18,半年 前 に 言えよ ･･･ アホ な の ？ ( 笑 ) ,0
19,たかが テレビ 見る の に こんなに 脳みそ こじらせ て か あい そう 、 か あいそ う 。 ,0
20,# ヒステリック・フェミ ,0
24,駄文 を 長々 と 列ね て も 結局 「 ボク ちゃん は アニメ や 漫画 が 嫌い な んで ち ゅ ～」 の 一言 で 済む の だ から 中身 など 全く 無し 。 ,0
26,＞ 変わら ん くらい 根拠 ねぇ なんか そういう データ ある ん です か ？ ,0
30,ほ ー ら 始まっ た 、 何 に も わかっ て ない くせ に わかっ た フリ する よう な やつ 。 ,0
31,脳味噌 スッカラカン すぎ て 蝶々 も トンボ も 寄っ て 来 ん だろ う な 。 ,0
33,つ ー か お前 の 方 が 遥か に 胡散臭い わ ( 嘲 ) ,0
36,具体 的 に どう いっ た 問題 が 起こる の か 提示 も 出来 ない なら 、 お前 も 幼稚 で ある こと に 変わり が ない の だ から 、 自分 で 言っ て いる こと を 体現 し て いる と しか 言え ない と 思う ん だ が … 。 ,0
38,ガマン し とけ よ 差別 主義 者 さん ,0
39,いつも いつも 日本 の やる こと に対して 悪口 、 文句 ばかり を 言っ て いる 。 ,0
41,寝言 ？ ,0
42,この プロフィール から 滲み 出る 頭 の 悪 さ よ ,0
46,意味 不明 、 、 、 草 ,0
47,その ソース は どこ から ？ ,0
49,俺 たち 日本人 の 恥 で ある この よう な ネトウヨ が いる から 、 ヘイトスピーチ 厳罰 化 が 必要 な ん だ よ な 。 ,0
51,あなた は 負け 組 です ,0
53,そんな こと は 中２ でも 言える 。 ,0
54,理屈 を 言う が 理屈 が 解ら ない ,0
55,見 たく ねえ なら Twitter やめろ よ ！ ,0
56,こういう アホ な 事 を   ま ことし や か に よく 言える もん だ ね ( 呆れ ) アンタ の ツイート 読ん で たら 、 せっかく ( 時 々) 良い こと を 言っ て い て も 、 いつも   こういう もの で 引い て ( 退い て ) しまい ます よ ? ,0
57,間違っ た 情報 を 垂れ 流す な よ 。 ,0
58,人並み 以上 に 納税 し てる の か ？ ,0
61,何 を 言っ て いる の か 。 ,0
63,こんな ツイート し て どう なる か 理解 でき ない なんて 、 馬鹿 です ね 。 ,0
68,あなた の アジテーター 活動 の コストパフォーマンス は かなり 低 そう 。 ,0
70,あなた 方 の 大好き な 差別 、 反日 活動 の 邪魔 に なる と は いえ 、 言葉 は 選ぶ こと です ,0
73,今後 も この よう な 卑劣 な 歴史 修正 に は 断固 として 立ち向かう 。 ,0
74,また 嘘 つく ん です か ？ ,0
76,真剣 に とりくむ 人 は こんな 方向 性 不明 の 書き方 は し ない 。 ,0
77,左翼 と 同じ 煽り 。 ,0
78,ただ ネタ として 見る 分 に は 面白い です ,0
79,そういう 所 が ダメ な ん だ ぞ ネトウヨ 。 ,0
81,投資 会 の シ バター みたい で 嫌い です 。 ,0
82,私 に は サッパリ わかり ませ ん 。 ,0
83,大丈夫 ？ ,0
84,哀れ だ な 。 ,0
87,日本語 おかしく ない かい ？ ,0
88,タグ の 口調 が 気に入ら ない ね ,0
89,歴史 修正 主義 者 か ,0
94,それ 自分 に も 刺さら ない ？ ,0
95,ま ー た 歴史 修正 か どん だけ 嘘 つく ねん ,0
96,そのまま 体 ごと 張り裂け て しまえ ,0
97,残念 だ けど その 記事 は 死ぬ ほど いい 加減 で 嘘っぱち 何 が 言い たい の か さっぱり 分から ない ,0
98,これ を 取り締まる 権力 を 得 たら 、 あなた みたい な 人 は 香港 弾圧 みたい な こと 平気 で する ん です か ？ ,0
99,田母神 氏 の 、 この   ↓   ツイート の 意味 が わから ない 。 ,0
100,ま ー た 架空 の オタク 像 を 捏造 し て それ を 叩く なぞ の 行動 か (*´∀｀*) お前 オタク へ の 依存 症 よ な ( 笑 ) ,0
101,現実 を 見 て どーぞ ,0
104,あんた ら が やっ てる こと は 営業 妨害 、 経済 活動 の 邪魔 。 ,0
105,さすが ネトウヨ と 言い たく なる くらい お バカ さん だ な 。 ,0
106,そんな 事 より 約束 守ろ う ね 出来 ない 守れ ない 約束 を する から 嘘つき 言わ れる ん だ よ ,0
107,文章 読め ない ん ？ ,0
108,議員 が 「 バイオ テロ 」 を 公 に 発言 。 ,0
112,あ 、 松丸 ディス りか ？ ,0
113,むし 守備 側 は てめえ の テリトリー で 手一杯 な ん だ 、 お前 ら が 余計 な 飛び火 する やり方 ばかり し てる から 仕方 なく 病巣 ごと 叩き 潰す 戦略 に 移っ てる だけ で な ,0
116,あなた が 一番 胡散臭い です ,0
117,あなた 方 モンスタークレーマー が いい加減 TPO を わきまえれ ば いい 話 です よ 。 ,0
