Column1,comment,label
0,どこ か に いっぱい たまっ てる ん でしょ う ね 。 ,1
1,2 億 じゃ たり なく なる か な 。 ,1
2,正解 ,1
3,H & amp ; M や 海外 資本 の お 店 に 行く と スパンコール いっぱい の ワンピ 売っ て ます ね 。 ,1
5,そして 俺 にとって 都合 の 良い 社会 に なれ ！ という の が ぶっ ちゃ け 維新 の 原動力 で あり 、 Twitter に は そこら 中 に 落ち て いる もの 。 ,1
8,まずは 、 外国 人 労働 者 を 排除 する こと から 始め ましょ う ！ ,1
9,って 気 が つける か ？ ？ ？ ,1
10,表現 の 自由 が 全て の 表現 に 適用 さ れる の は その 通り で 、 アニメ 漫画 表現 も その 例外 で は ない と いう だけ の 話 な ん だ が ？ ,1
13,Maica _ n   ちゃん の   Hanako さん 、 届い て 。 ,1
16,なるほど ,1
17,日本 に は なら ない 気 が する それ が 全て 出来る まで 何 百 年 かかる か な … … ,1
21,責任 取る 必要 が ない 言葉   言質 を 取ら れ ない よう な 表現 を 使う こと に は 長け て いる よう です 。 ,1
22,納得 ,1
23,逆 に 友人 に 知ら れる くらい アカウントバズ ら せ たり ます か ！ ！ ！ って 今 思っ て ます 。 ,1
25,2001 年 の 出生 数 が 1 ,1
27,蓮 の 花 は 泥 の 中 で 美しく 咲き誇る 風俗 嬢 も 同じ で は ない です か ,1
28,外国 人 が 増えれ ば 、 犯罪 も ふえ ます 。 ,1
29,本当に 日本 の 事 を 思っ て 考え て 欲しい です 。 ,1
32,いやいや 、 一 握り の 反日 活動 家 でしょ う ね ！ 。 ,1
34,金 が ない 人 は レイプ する でしょ う ね ？ ,1
35,これ 以上 社会 経済 活動 を 止め られ たら 2 年 3 年 後 に は 国 中 の 中小 零細 企業 は 大変 な 局面 を 迎える 事 に なる ！ ,1
37,文句 も 言わ ない で 働い て いる 人 は 真面目 な ん じゃ なく て 牧場 の 羊 と 一緒 。 ,1
40,消費 税 廃止 し て も 良い よ ね ！ ,1
43,2 歳 の 娘 が いる ので ブクマ し て 、 妻 に も 共有 し まし た ！ ！ ,1
44,自国 を 守 歴史 る の は 自 国民 が 基本 です ,1
45,そういう 思想 教育 の 結果 じゃ ない か な ？ ,1
48,参考 に なり ます ＾ ＾ ,1
50,何 でも 海外 の 動き に 合わせる 必要 は ない 。 ,1
52,ハリウッド は グローバル だ けど 、 アメリカ じゃ 国内 向け コンテンツ は ガラパゴス なん じゃ ない か ？ と 思い 至り まし た 。 ,1
59,勇気 いり ます よ ね ！ ,1
60,勉強 は 本当に 大事 です よ ね ,1
