,Unnamed: 0,comment_sentence,label
153,23669,投資会のシバターみたいで嫌いです。,0.0
501,180,おはようございます素敵な成人の日になります様に,1.0
235,34097,極論,0.0
437,116,本当にロクでもない制度ですよね,1.0
485,164,そしてそれにふさわしい場は、ファンであるほうが考えるべきものだ。,1.0
335,14,そこから600年以上経ちますが、彼らはどこで間違えてしまったのか。,1.0
351,30,遊び相手になってくれるのは安倍総理だけ。,1.0
304,34369,格差とか言い出して何が言いたいんだろ…,0.0
49,2680,被害者面すんなよ,0.0
149,22421,他人の表現の自由への侵略や,0.0
389,68,そうだよね～！,1.0
94,16394,生まれてこの方そんな話は聞いたことはないが,0.0
204,33970,お　ま　え　が　い　う　な,0.0
199,33957,共感してくれる人としか話したく無いと言う事なんだろうけど、何かを発信したい人なの？,0.0
62,5587,叩かれれば叩かれるほどに自分は正しいと思い込む人がかなり多いと聞くのですが、あなたもその一人ですか？,0.0
4,958,バカなのか？,0.0
511,190,寒くなってきたのでね。,1.0
11,1291,あんたが「存在するだけで嫌われ警戒される」,0.0
334,13,永遠に改善しないで欲しい。,1.0
313,34386,＞変わらんくらい根拠ねぇなんかそういうデータあるんですか？,0.0
420,99,人の動向を見てると、まだまだ恐怖がいっぱいいっぱいです。,1.0
140,20940,このツイートは絶望感に間違い。,0.0
64,5813,そんなこともわからんのか。,0.0
606,285,こういうことやね。,1.0
455,134,お金を稼ぐ目的の1つです,1.0
626,305,仲良くしてください！,1.0
390,69,結局は自分の物差しで喚き散らしているだけなんですよ,1.0
209,34002,その脳みそが既に洗脳されている（笑）,0.0
503,182,ってより「フェミニストの化けの皮が剥がれた」かと,1.0
69,7620,こんなところでも歴史改竄運動…,0.0
284,34282,こんないい加減な記事で惑わされる時点でありえないと思います。,0.0
346,25,それが韓国という国のあり方なのですね,1.0
216,34031,「歴史修正主義者は嫌い」って書いてあるから自分の事嫌いなんだね,0.0
286,34297,ネトウヨが差別用語と、訳の分からない主張をするネトウヨ。,0.0
385,64,これを取り締まるのが旧態依然とした男性社会とけいさつ。,1.0
176,26359,だから？,0.0
20,1782,ウクライナみたいに回避できない状況もあるのを想定してない時点でクソ,0.0
310,34379,何でそうなる？,0.0
150,22820,お里が知れますね。,0.0
