,Unnamed: 0,comment_sentence,label
155,23730,言うだけだったら誰でも出来んだぜ行動に移しな,0.0
550,227,底辺が広すぎるんです。,1.0
61,5586,言ってることが尽く論点ズレてますよ。,0.0
510,187,此処に枠沈っていう罠がなければ平和でしたわね,1.0
528,205,②仕事以外のコミュニティに入る。,1.0
340,17,当然萌え絵と政治的なポスターは全く事情が違うし、例えば胸を出したりするような卑猥なポスターがあれば、公共の場からは排除されて当然。,1.0
223,34071,だから何？,0.0
192,33925,一人でも反対したらアウトだと思ってんですかバカなんですかバカなんですね…。,0.0
620,297,多くの日本人って何？,1.0
174,25768,こんな人間が出政治家を志してる恐怖よ。,0.0
93,16392,エビデンス出して下さい。,0.0
423,100,違反者はどうなるんですか？,1.0
94,16394,生まれてこの方そんな話は聞いたことはないが,0.0
498,175,罰を与えろ！,1.0
204,33970,お　ま　え　が　い　う　な,0.0
418,95,明るい家庭みたいわ,1.0
587,264,やるかやらないかだけですね,1.0
160,23966,決め付けもここまで来ると清々しいもんだな。,0.0
286,34285,仮定が良くわからないな…,0.0
175,26341,メディアが現実に与える影響を一緒くたにするなバカ,0.0
140,20940,このツイートは絶望感に間違い。,0.0
37,2337,口論してたら突然吐く人も怖い。,0.0
564,241,これに対して経済評論家の渡邉哲也は「人殺し！見捨てるのか？」というスローガンを掲げていた。,1.0
156,23923,貴方個人の感想、ワガママでディストピア作られちゃかなわんよ。,0.0
484,161,飼犬ども、チンカス。。。,1.0
243,34156,なんで海乱鬼って年中イキり散らしているわりには、物の考え方がこんなに弱々しいのだろうな。,0.0
246,34174,普通は、楽しんでいますよいますよ、胴元のせいにするなら、人からお金をだまさないでくださいね。,0.0
158,23926,ん？,0.0
271,34232,むし守備側はてめえのテリトリーで手一杯なんだ、お前らが余計な飛び火するやり方ばかりしてるから仕方なく病巣ごと叩き潰す戦略に移ってるだけでな,0.0
456,133,ジュンゴさん、まだいう人いますね,1.0
400,77, ,1.0
249,34179,それは価値観の押し付けだと思いませんか？,0.0
157,23924,オタク嫌いって偏見とかもう見飽きたわ。,0.0
178,26712,他人と比べても何にもならないやっぱジジイのクセにガキなんだなw,0.0
183,33878,気づいてないのはどっちw,0.0
11,1291,あんたが「存在するだけで嫌われ警戒される」,0.0
522,199,そうやって小学校の頃から教え込まれるんだよ、この国では。,1.0
607,284,好きで路上生活してる訳じゃない。,1.0
88,16254,ほーら始まった、何にもわかってないくせにわかったフリするようなやつ。,0.0
352,29,早慶を下に見やがって。,1.0
342,19,れいわ新選組は「ピンクの共産党」という別名があるようですがその通りだと思います。,1.0
421,98,勇気いりますよね！,1.0
