,comment_sentence,label
123,脳味噌スッカラカンすぎて蝶々もトンボも寄って来んだろうな。,0.0
124,またネトウヨが騒いでる笑笑,0.0
697,キミが更迭だな。,0.0
698,その固い頭を柔らかくした方が生産的,0.0
736,それも言い過ぎだろう。,0.0
764,えー無知は、どちら？,0.0
834,あたま大丈夫なのかしら、と。,0.0
908,ソースは？,0.0
934,バカなのか？,0.0
1010,ネトウヨ究めてんなー,0.0
1013,本当生産性のない奴らw,0.0
1031,見ている範囲が狭すぎるんじゃないですか？,0.0
1049,たったの一行で全部間違ってて草,0.0
1051,中身ー無しさん,0.0
1262,哀れだな。,0.0
1263,あんたが「存在するだけで嫌われ警戒される」,0.0
1264,未婚男性なのは、99.9%あんたに原因があると思うよ,0.0
1277,まぁ女叩きしてる時点でもてねえわな,0.0
1283,なんか、哀れだな。,0.0
1284,脳みそがゲシュタルト崩壊！,0.0
1289,嫌われてるのはあんたらインセルやキモモタだけ。,0.0
1732,ただネタとして見る分には面白いです,0.0
1747,ウクライナみたいに回避できない状況もあるのを想定してない時点でクソ,0.0
1895,もう少し頭を使って生きたらどう？,0.0
2017,渡辺弁護士の鼻がスケベっぽくてエロいから隠しとけとか言われたら反発するだろ？,0.0
2280,病気じゃない？,0.0
2281,イヤなら自分の国に帰ればいいのに。,0.0
2282,大丈夫？,0.0
2283,フェミニズムをおかしな宗教みたいにした連中のうちの一人が何言ってんだろう？,0.0
2285,君みたいなのしか居ないからだよ,0.0
2287,日本から出ていって下さい。,0.0
2289,モラルがねぇからたたかれてんだろ？,0.0
2290,フェミニストと大きく言うなら常識ない人=フェミニストってイメージがどんどん浸透するよ？,0.0
2292,こういうコントは面白いんだけどな時々ライン越えの発言するからな,0.0
2293,じゃあ日本からでてけば？,0.0
2294,このクズ,0.0
2295,そのまま体ごと張り裂けてしまえ,0.0
2297,そりゃ奇声上げながら斧振り回してるのが見えてたら通報されるわ常識考えろ常識を,0.0
2300,口論してたら突然吐く人も怖い。,0.0
2308,張り裂けとけよ。,0.0
2309,長えんだよ妄想が。,0.0
2338,『戦いになると抵抗出来ず『差別主義者！』と叫んで逃げるしか脳のない女性』を体現してるだけやないの。,0.0
