Column1,comment,label
0,今 の 日本 に 左翼 など と 呼べる 勢力 なんて ほぼ 居 ない 。 ,1
1,支配 し てる 世界 を 支配 者 が 壊す の は 自滅 行為 だ から それ は 有り得 ない と の こと です 。 ,1
2,つまり パヨク だけ が グレイト ！ ,1
4,まぁ 、 それ も 嫌 だ けど 。 ,1
6,流石 に それ は ない と 思い ます 。 ,1
9,そんな わけ 無い に 決まっ てる じゃ ない です か ,1
10,フェミニスト の 横暴 に は 抵抗 し なきゃ 滅ぼさ れる だけ な のに な 。 ,1
11,何故 母親 の 姓 を 名乗っ てる か って 、 天皇 気取り し たかっ た から です よ ね 、 おそらく 。 ,1
13,現実 に は 補い 切れ ませ ん が 。 ,1
15,まあ 、 私 も 誤字 等 多い が 、 同じ 文章 を 何 度 も 繰り返し ツイート する なら ちょっと は 推敲 すれ ば いい のに 。 ,1
17,「 デスゲーム で 格差 」 って 言わ れ て ラブデスター を 連想 し て しまう の 、 TL の 影響 が 強い 。 ,1
18,こういう 事前 の 見回り と 確認 が 悪質 な 犯罪 を 防ぐ ん だ なぁ 。 ,1
20,パヨク だけ が マトモ ！ ,1
22,コロナ だけ 陽性 者 を 感染 者 と 呼ぶ の は 何故 です か ？ ,1
27,出せ とか 乱暴 な 言葉 は やめ ませ ん か ？ ,1
28,あくまで 規制 し た 海外 の 事象 として その 事実 が ある から 言っ て いる の です よ 。 ,1
34,御 左様 が よく やる 常套 手段 です ね 。 ,1
35,勿論 根拠 なんて 専門 家 じゃ 無い から 言え ませ ん が 、 オーガニック 愛好 家 理想 の 世界 だ と 60 億 人 以上 死亡 ？ ,1
37,愛国 者 の 定義 を 変え なけれ ば いけ ない ね 。 ,1
44,弱者 に 優しく は わかる が 怠け者 に 優しく に も なる ん だ よ な ,1
46,さすが ミソジニー / アンチ フェミニズム 界 の 上杉 隆 だ ,1
47,違反 者 は どう なる ん です か ？ ,1
48,玉木 さん 、 まとも な こと 言っ ちゃっ て どう し た の ？ ,1
49,「 自分 は 勇ましく 戦う 戦士 ！ 」 の よう な 「 イメージ 」 即ち 虚像 に だけ 溺れ て いる 人達 「 他人 に そういう イメージ で 見 て もらわ ない と ヒステリー を 起こす 」 （ 自分 の 矮小 な 正体 が バレ た と 思う から だろ う ） ,1
50,ゲーマー 的 に 言え ば 、 世界 規模 で リアル 人 狼 ゲーム の 真っ最中 です 。 ,1
51,西原 理恵子 の エッセイ で そんな の が あっ た 。 ,1
55,自分 達 も 日常 生活 で 同じ よう な ズル を し てる から 共感 する ん だろ う と 思い ます 。 ,1
56,戦争 終わっ た よう な もん でしょ う ？ ,1
57,自分 は 正義 で オタク は 悪 な ん です から ,1
59,その 格差 を 現 段階 で は 個々 が 埋め て 行き 助け合える 世の中 に し ない と だ よ ね 。 ,1
63,え 、 この リプ 欄 や 自分 の 周り を 見る 限り 皆無 です が 。 ,1
65,どの 渡辺 弁護士 だろ う ？ ,1
67,経験 談 で いう と 、 目先 の 欲望 を 我慢 でき ない 、 快楽 が 手 に 入っ たら 後 の 事 は どう でも 良く なっ て しまう ん です よ 。 ,1
68,具体 的 に 何 を やる か 一言 も 書い て ない 。 ,1
69,どの 口 が 言う ？ ,1
70,結局 は 自分 の 物差し で 喚き 散らし て いる だけ な ん です よ ,1
72,何 を 今更 言っ てる の ？ ,1
74,メリット と デメリット の バランス を 見極め たい だけ 。 ,1
77,何 を もっ て 右翼 、 左翼 な の か 、 歴史 や 国 によって バラバラ です 。 ,1
79,「 皆無 」 です 。 ,1
80,伝統 と 言う か 因習 ね 。 ,1
82,こんな こと を やる 放送 局 に 、 受信 料 払い たく ない 。 ,1
83,迷惑 な 人達 です ね ,1
85,なぜ ？ ,1
86,なる ほど です ,1
