Column1,comment,label
0,かせる と 本質 が 不透明 に なり 、 お笑い の プロパガンダ 利用 倫理 観 欠如 で 日本 会議 理念 の 安倍 晋 三 元 首相 は 「 私 が 国家 だ 」 とんだ 勘違い の 傲慢 不遜 で 権力 私物 化 「 政治 と カネ 」 ,1
5,ワクチン の 手配 が 遅れ て いる と 聞い て い ます が ？ ,1
6,努力 の 量 が 圧倒的 だ よ ね ,1
7,日本 国内 で も 感染 者 より 停泊 中 の 弁当 の 方 が 大きな ニュース に なっ て た し 、 ご 担当 者 様 、 お疲れさま です 。 ,1
8,これ 以上 国民 を 苦しめる な よ ！ ,1
10,ワクチン が なかっ たら 大変 な 事 に なっ て たっ て 本当 でしょ う か ？ ,1
13,コロナ だけ 陽性 者 を 感染 者 と 呼ぶ の は 何故 です か ？ ,1
17,品格 は 日本人 力士 に も 当然 求め られ て い ます が ？ ,1
18,もっとも 必要 の 無い 国 ! ,1
19,まあ 、 おおよそ 、 その お金 は 自民党 に 政治 献金 し て いる 企業 に 回る よう に なっ て ます から ね 。 ,1
20,2 歳 の 娘 が いる ので ブクマ し て 、 妻 に も 共有 し まし た ！ ！ ,1
25,今日 も 素敵 な １ 日 を ,1
26,オミクロン だ ー って ギャーギャー 騒ぎ立て てる の は TV や 新聞 の 中 だけ っす よ ？ ,1
28,でも そんな の 、 実態 が 伴わ ない から 常に 空回り し てる ん だ よ ね 。 ,1
30,＞ 消費 者 が 不快 感 を 呈し て 公共 的 な 広告 から 温泉 むす め が 消え り 、 設定 変え させ られ て も 、 それ は ＴＰＯ の 問題 。 ,1
31,コロナ 関係 だ っけ ？ ,1
33,部署 違う から よく 知ら ん けど 。 ,1
34,来年 、 みんな にとって 、 幸せ な 年 で あり ます よう に ,1
35,「 嫌 なら 見る な 、 関わる な 」 ,1
36,終身 刑 に し て 責任 を 取ら せ つつ 、 永遠 に 反省 さ せる べし 。 ,1
37,オリジナル や アルファ 株 は ともかく 、 デルタ 株 や オミクロン 株 なら 寿命 だ と 思う (´ ・ ω ・ ｀) ,1
38,おかげ で 日本 は 、 SDGs 後進 国 真っしぐら 。 ,1
39,役に立た なかっ た ! ,1
45,資格 取れ ば 関係 ない で ,1
53,さらに … 電子 カルテ が … 重く なっ たり … 要領 悪かっ たり … すると … 詰む … の です … ,1
54,西原 理恵子 の エッセイ で そんな の が あっ た 。 ,1
55,実際 に キャリア 形成 上 の 差別 事例 は 身近 でも 聞い た こと が ある し 、 医学部 入試 点数 問題 とか も 典型 的 だ な 。 ,1
56,「 関係 ない 」 って 怒っ てる やろ 。 ,1
57,所得 税 、 消費 税 、 社会 保険 料 など も 日本 と 同じ か 近い の でしょ う か ? ,1
59,付け加える なら … ,1
60,もし 、 何 か の 事件 だっ たら どう する の ～？ ,1
61,問題 は そういう 人 たち を 利用 する 輩 です ね 。 ,1
64,合っ て ない ん だ から さ 。 ,1
66,行動 に レッテル を 貼り 、 ウイルス 撒き 散らす 者 達 と 言う 解釈 を 広め た 。 ,1
69,マジョリティ の 数 の 暴力 による 少数 派 の 弾圧 ・ 淘汰 を 防ぐ ため に 。 ,1
70,半島 系 の 顔 ね ,1
71,「 いじめ られ っ子 が （ 強力 な ） 反撃 手段 を 持っ た と し たら 」 って 事 か な ,1
73,多様 性 と は ？ ,1
