Column1,comment,label
1,新た な 刺激 や 出会い が 少なく なっ て き てる から 好き な こと や 気 に なる こと の コミュニティ に は 積極 的 に 入る よう に し たい です 。 ,1
2,違反 者 は どう なる ん です か ？ ,1
3,容疑 者 の 人権 として 論じる ところ が 、 外国 人 の 人権 の 話 に なっ て い て 、 論点 を ずらし て いる よう に 思え ます 。 ,1
4,大相撲 は 神事 の 一つ です ? ,1
6,こないだ は 「 左翼 は 圧倒的 マイノリティ 」 と 言っ て た ネトウヨ さん も いたし 。 ,1
8,愛子 天皇 は あり 得 ない 。 ,1
12,デマ を 流す に し て も 悪質 過ぎる 。 ,1
13,やっぱ バイオレントファット 太郎 の 名 は 伊達 で は ない の で は ,1
15,どんな 主張 も 信じる の は 自由 だ けど 、 その 主張 を 基 に 他者 を 攻撃 嫌がらせ する の は 看過 でき ない 。 ,1
19,自己 満足 し て て 草 ,1
20,そんなに フェミニスト 名乗り たい なら 、 紙 や 電子 世界 に 書か れ た キャラ で は なく 、 実際 の 女性 の 権利 を 訴える べき で は ？ ,1
22,自分 の 時間 を 費やし て 誰 から 言わ れ た わけ で も なく やり たい から やっ て た 。 ,1
23,ツイ 見 て て も 気 に なる の は 、 自分 の 格差 を 見せ付け られる こと を 極度 に 嫌がる こと か な 。 ,1
25,ためし に 訴訟 し て み たら ？ ,1
26,痛く て 耐え られ ない と 思う 。 ,1
29,この アカウント （ 笑 ） ,1
31,G 7 から 真摯 に 学び 、 科学 的 な 分析 に 則り 、 人 の 往来 再開 に 向け た 道筋 を 示す べき 時 だ 。 ,1
36,今 の ところ は 怖 すぎ な 人 い ない から 居心地 よい とこ ,1
38,いやいや 、 一 握り の 反日 活動 家 でしょ う ね ！ 。 ,1
40,日本 は 苦しい と 言い たい です ,1
41,あなた の 親 なり 家族 、 または 大事 な 人 が その よう な こと を 言わ れ て 怒ら ない の です か ？ ,1
42,子ども 同士 の 同調 圧力 を 生み出し て いる の は 、 大人 です から ね ,1
43,現実 に は 補い 切れ ませ ん が 。 ,1
45,何で セーシキ さん が 表現 規制 大好き 統一教会 ？ ,1
46,なん や こいつ 自己 責任 やろ w ,1
47,でも アメリカ だって トラムプ 支持 者 の 愛国 趣味 の 輩 は 似 た よう な もん だ から なぁー ,1
51,時事 ネタ 風刺 と 毒 が 混ざっ てる タイプ の ジョーク 。 ,1
53,安倍 政権 の 支持 率 が 6 割 くらい あっ た とき は 、 反日 や 左翼 も 支持 者 に 混じっ て い た こと に なる の か 。 ,1
54,あと 、 個人 は 分割 でき ない が 法人 は 分割 可能 だ から 税制 の 考え方 も 異なる 。 ,1
55,いつ まで ステレオ タイプ の キモオタ を 妄想 し てる ん です か … … 。 ,1
58,「 男 は 」 って あんた 、 イケメン を 男 に 入れ ない の は おかしい だろ 。 ,1
61,身 に 覚え が 無い から 異議 申し立て し て いる 最中 です ！ ,1
63,北口 は 湾岸 タワマン の よう な ニコニコ 幸せ そう な 子育て 勢 、 反対 に 南口 は 高齢 者 に 半 グレ 夜 職 みたい な の ばっか 。 ,1
65,最近 ( 昔 から ？) 増え た よ な ． ,1
68,今さら 反 ワクチン なんか の 意見 聞い てる 時点 で 担当 大臣 務まん ない よ ね … ,1
72,う ? ん 、 なんとか 擁護 し たい と 思っ て た けど とっくに データ で 否定 さ れ てる 「 日本 だけ 何 百 倍 も 何 万 倍 も 暗 数 が ある 」 とか 偏見 に まみれ た 出羽守 ポーズ 部分 は 擁護 不可能 だ よ … ,1
73,いろんな 考え の 人 が いる ので 、 人 の こと を 馬鹿 とか は どう な の でしょ う か 。 ,1
77,この方 達 は 私 達 地球 の 仏 様 です ,1
78,各地 で 内戦 が 起こっ てる の 草 ,1
80,厚顔無恥 と 言う ことば が 、 彼ら の 辞書 に は 載っ て ない 模様 です 。 ,1
81,そんな わけ 無い に 決まっ てる じゃ ない です か ,1
82,因果 関係 認め られ ない って 事 は 否定 も 出来 ない の で は ？ ,1
83,ここ の リプライ の 人達 は なん で 高学歴 の 人 を 馬鹿 に し て いる の か な … ,1
84,教え て 下さい ,1
