Column1,comment,label
3,また 、 ” 学校 で 憲法 に 沿っ て 反日 教育 が 行わ れ て いる 。 ” と する が 、 何 を 指し て 反日 教育 と 言っ て いる の か も 不明 だ 。 ,0
5,どんどん 品性 落ち ます よ ,0
7,仮に 被害 者 だ として も ジャーナリスト が そんな 不祥事 見逃し て たっ て 無能 に も 程 が ある ,0
8,こんな 人間 が 出 政治 家 を 志し てる 恐怖 よ 。 ,0
12,結論 、 人 の せい に す な ? ,0
14,いや 、 なん か すん げ ぇ 色々 と 言葉 飾っ てる けど さ 。 ,0
16,キミ が 更迭 だ な 。 ,0
19,小学生 か な ？ ,0
21,ま ー た デタラメ な 事 を … 。 ,0
23,不審 すぎる し 薬 やっ て ん の かって 思う よ ね 。 ,0
24,何 か 問題 が ある ん です か ？ ,0
25,論点 が おかしい です よ 。 ,0
26,煽り とか で なく 、 一度 病院 で 統合 失調 調べ て もらっ た ほう が いい と 思い ます 。 ,0
29,日本 を 悪い 国 だ と 思っ てる 人 の 筆頭 は あなた でしょ う 。 ,0
30,子孫 達 の ため に も ちゃんと 頭 で 考え て くれ 。 ,0
31,えー 無知 は 、 どちら ？ ,0
32,いや 、 その 理屈 は おかしい 。 ,0
33,その よう に 印象 操作 し て 一部 の 金目 教 の 人間 が 得する 社会 は 間違っ て い ます 。 ,0
36,それ を ただ 単に 右左 で 語っ て しまう 議論 が 稚拙 だ な と 思い ます 。 ,0
38,君 みたい な の しか 居 ない から だ よ ,0
39,品位 の カケラ も 無い お 言葉 です ね ...... 軽蔑 し ます ,0
40,叩か れれ ば 叩か れる ほど に 自分 は 正しい と 思い込む 人 が かなり 多い と 聞く の です が 、 あなた も その 一 人 です か ？ ,0
41,なるほど 、 そう 信じ たい ん です ね ,0
42,言葉 の 重 さ を 知ら ない ね 。 ,0
43,人 として 筋 を 通す こと から 始め た 方 が いい と 思う 。 ,0
45,なぜ 彼 が 女性 に モテ なく て 辛い 人生 を 送っ て いる の か と いう と 、 女性 が 悪い の で は なく 彼 が 彼 だ から に 他 なら ない ,0
52,だ と し たら 貴方 に は 人 として 大事 な もの が 欠け て ます ね 。 ,0
53,雑 な 誘導 は 逆 効果 です 。 ,0
54,東大 京大 に 入っ た 人 は 普通 に 本 読ん でる し 、 そもそも この 人 の ID が 頭 悪 すぎる 。 ,0
58,やっ ぱりなんかずれてんよね 。 ,0
60,イラチ の おば ちゃん ,0
61,見 て いる 範囲 が 狭 すぎる ん じゃ ない です か ？ ,0
62,心 だけ で は なく 脳 ミソ も ない か 足り なく なっ て しまっ てる よう です ね 。 ,0
64,アンケート とっ た の ？ ,0
66,世迷い言 ,0
71,発言 が 無責任 過ぎ ます 。 ,0
73,こうした 責任 感 の 欠片 も 存在 し ない 戯れ言 吐く 輩 が 相手 に 責任 感 を 求める など 笑止千万 。 ,0
75,最も 信用 でき ない の が 岩田 で ある 。 ,0
76,何 も し なかっ た あなた の せい でしょ う が ！ ,0
78,スト マック さん は 、 下手 すぎ ます ,0
81,相撲 に 文句 垂れる 血 ナマコ 先生 でし た ,0
84,社会 に 文句 を いう だけ の 存在 で なく 、 きちんと 社会 に 貢献 する まとも な 人間 に なり ましょ う ね 。 ,0
